filepath,label
Audio_Song_Actors_01-24\Actor_01\03-02-01-01-01-01-01.pt,1
Audio_Song_Actors_01-24\Actor_01\03-02-01-01-01-02-01.pt,1
Audio_Song_Actors_01-24\Actor_01\03-02-01-01-02-01-01.pt,1
Audio_Song_Actors_01-24\Actor_01\03-02-02-01-01-01-01.pt,2
Audio_Song_Actors_01-24\Actor_01\03-02-02-01-02-01-01.pt,2
Audio_Song_Actors_01-24\Actor_01\03-02-02-02-01-01-01.pt,2
Audio_Song_Actors_01-24\Actor_01\03-02-02-02-01-02-01.pt,2
Audio_Song_Actors_01-24\Actor_01\03-02-02-02-02-01-01.pt,2
Audio_Song_Actors_01-24\Actor_01\03-02-02-02-02-02-01.pt,2
Audio_Song_Actors_01-24\Actor_01\03-02-03-01-01-01-01.pt,3
Audio_Song_Actors_01-24\Actor_01\03-02-03-01-01-02-01.pt,3
Audio_Song_Actors_01-24\Actor_01\03-02-03-01-02-02-01.pt,3
Audio_Song_Actors_01-24\Actor_01\03-02-03-02-01-01-01.pt,3
Audio_Song_Actors_01-24\Actor_01\03-02-03-02-02-01-01.pt,3
Audio_Song_Actors_01-24\Actor_01\03-02-03-02-02-02-01.pt,3
Audio_Song_Actors_01-24\Actor_01\03-02-04-01-01-01-01.pt,4
Audio_Song_Actors_01-24\Actor_01\03-02-04-01-01-02-01.pt,4
Audio_Song_Actors_01-24\Actor_01\03-02-04-01-02-01-01.pt,4
Audio_Song_Actors_01-24\Actor_01\03-02-04-01-02-02-01.pt,4
Audio_Song_Actors_01-24\Actor_01\03-02-04-02-01-01-01.pt,4
Audio_Song_Actors_01-24\Actor_01\03-02-04-02-01-02-01.pt,4
Audio_Song_Actors_01-24\Actor_01\03-02-04-02-02-01-01.pt,4
Audio_Song_Actors_01-24\Actor_01\03-02-04-02-02-02-01.pt,4
Audio_Song_Actors_01-24\Actor_01\03-02-05-01-01-01-01.pt,5
Audio_Song_Actors_01-24\Actor_01\03-02-05-01-01-02-01.pt,5
Audio_Song_Actors_01-24\Actor_01\03-02-05-01-02-01-01.pt,5
Audio_Song_Actors_01-24\Actor_01\03-02-05-01-02-02-01.pt,5
Audio_Song_Actors_01-24\Actor_01\03-02-05-02-01-01-01.pt,5
Audio_Song_Actors_01-24\Actor_01\03-02-05-02-01-02-01.pt,5
Audio_Song_Actors_01-24\Actor_01\03-02-05-02-02-01-01.pt,5
Audio_Song_Actors_01-24\Actor_01\03-02-05-02-02-02-01.pt,5
Audio_Song_Actors_01-24\Actor_01\03-02-06-01-01-01-01.pt,6
Audio_Song_Actors_01-24\Actor_01\03-02-06-01-02-02-01.pt,6
Audio_Song_Actors_01-24\Actor_01\03-02-06-02-01-01-01.pt,6
Audio_Song_Actors_01-24\Actor_01\03-02-06-02-02-02-01.pt,6
Audio_Song_Actors_01-24\Actor_02\03-02-01-01-01-01-02.pt,1
Audio_Song_Actors_01-24\Actor_02\03-02-01-01-01-02-02.pt,1
Audio_Song_Actors_01-24\Actor_02\03-02-01-01-02-01-02.pt,1
Audio_Song_Actors_01-24\Actor_02\03-02-01-01-02-02-02.pt,1
Audio_Song_Actors_01-24\Actor_02\03-02-02-01-01-02-02.pt,2
Audio_Song_Actors_01-24\Actor_02\03-02-02-01-02-02-02.pt,2
Audio_Song_Actors_01-24\Actor_02\03-02-02-02-01-02-02.pt,2
Audio_Song_Actors_01-24\Actor_02\03-02-02-02-02-01-02.pt,2
Audio_Song_Actors_01-24\Actor_02\03-02-02-02-02-02-02.pt,2
Audio_Song_Actors_01-24\Actor_02\03-02-03-01-01-01-02.pt,3
Audio_Song_Actors_01-24\Actor_02\03-02-03-01-01-02-02.pt,3
Audio_Song_Actors_01-24\Actor_02\03-02-03-01-02-02-02.pt,3
Audio_Song_Actors_01-24\Actor_02\03-02-03-02-01-01-02.pt,3
Audio_Song_Actors_01-24\Actor_02\03-02-03-02-01-02-02.pt,3
Audio_Song_Actors_01-24\Actor_02\03-02-03-02-02-02-02.pt,3
Audio_Song_Actors_01-24\Actor_02\03-02-04-01-01-01-02.pt,4
Audio_Song_Actors_01-24\Actor_02\03-02-04-01-01-02-02.pt,4
Audio_Song_Actors_01-24\Actor_02\03-02-04-01-02-01-02.pt,4
Audio_Song_Actors_01-24\Actor_02\03-02-04-02-01-01-02.pt,4
Audio_Song_Actors_01-24\Actor_02\03-02-04-02-01-02-02.pt,4
Audio_Song_Actors_01-24\Actor_02\03-02-04-02-02-02-02.pt,4
Audio_Song_Actors_01-24\Actor_02\03-02-05-01-01-01-02.pt,5
Audio_Song_Actors_01-24\Actor_02\03-02-05-01-01-02-02.pt,5
Audio_Song_Actors_01-24\Actor_02\03-02-05-01-02-01-02.pt,5
Audio_Song_Actors_01-24\Actor_02\03-02-05-02-01-02-02.pt,5
Audio_Song_Actors_01-24\Actor_02\03-02-05-02-02-01-02.pt,5
Audio_Song_Actors_01-24\Actor_02\03-02-05-02-02-02-02.pt,5
Audio_Song_Actors_01-24\Actor_02\03-02-06-01-01-01-02.pt,6
Audio_Song_Actors_01-24\Actor_02\03-02-06-01-01-02-02.pt,6
Audio_Song_Actors_01-24\Actor_02\03-02-06-02-01-01-02.pt,6
Audio_Song_Actors_01-24\Actor_02\03-02-06-02-02-01-02.pt,6
Audio_Song_Actors_01-24\Actor_02\03-02-06-02-02-02-02.pt,6
Audio_Song_Actors_01-24\Actor_03\03-02-01-01-02-01-03.pt,1
Audio_Song_Actors_01-24\Actor_03\03-02-02-01-02-01-03.pt,2
Audio_Song_Actors_01-24\Actor_03\03-02-02-02-01-02-03.pt,2
Audio_Song_Actors_01-24\Actor_03\03-02-03-01-01-02-03.pt,3
Audio_Song_Actors_01-24\Actor_03\03-02-03-01-02-01-03.pt,3
Audio_Song_Actors_01-24\Actor_03\03-02-03-01-02-02-03.pt,3
Audio_Song_Actors_01-24\Actor_03\03-02-03-02-01-01-03.pt,3
Audio_Song_Actors_01-24\Actor_03\03-02-03-02-01-02-03.pt,3
Audio_Song_Actors_01-24\Actor_03\03-02-03-02-02-01-03.pt,3
Audio_Song_Actors_01-24\Actor_03\03-02-04-01-01-01-03.pt,4
Audio_Song_Actors_01-24\Actor_03\03-02-04-01-01-02-03.pt,4
Audio_Song_Actors_01-24\Actor_03\03-02-04-01-02-01-03.pt,4
Audio_Song_Actors_01-24\Actor_03\03-02-04-01-02-02-03.pt,4
Audio_Song_Actors_01-24\Actor_03\03-02-04-02-01-01-03.pt,4
Audio_Song_Actors_01-24\Actor_03\03-02-04-02-01-02-03.pt,4
Audio_Song_Actors_01-24\Actor_03\03-02-04-02-02-01-03.pt,4
Audio_Song_Actors_01-24\Actor_03\03-02-04-02-02-02-03.pt,4
Audio_Song_Actors_01-24\Actor_03\03-02-05-01-01-01-03.pt,5
Audio_Song_Actors_01-24\Actor_03\03-02-05-01-01-02-03.pt,5
Audio_Song_Actors_01-24\Actor_03\03-02-05-01-02-01-03.pt,5
Audio_Song_Actors_01-24\Actor_03\03-02-05-01-02-02-03.pt,5
Audio_Song_Actors_01-24\Actor_03\03-02-05-02-01-01-03.pt,5
Audio_Song_Actors_01-24\Actor_03\03-02-05-02-02-01-03.pt,5
Audio_Song_Actors_01-24\Actor_03\03-02-06-01-01-01-03.pt,6
Audio_Song_Actors_01-24\Actor_03\03-02-06-01-02-01-03.pt,6
Audio_Song_Actors_01-24\Actor_03\03-02-06-01-02-02-03.pt,6
Audio_Song_Actors_01-24\Actor_04\03-02-01-01-02-01-04.pt,1
Audio_Song_Actors_01-24\Actor_04\03-02-01-01-02-02-04.pt,1
Audio_Song_Actors_01-24\Actor_04\03-02-02-01-02-01-04.pt,2
Audio_Song_Actors_01-24\Actor_04\03-02-02-01-02-02-04.pt,2
Audio_Song_Actors_01-24\Actor_04\03-02-02-02-01-01-04.pt,2
Audio_Song_Actors_01-24\Actor_04\03-02-02-02-01-02-04.pt,2
Audio_Song_Actors_01-24\Actor_04\03-02-02-02-02-01-04.pt,2
Audio_Song_Actors_01-24\Actor_04\03-02-02-02-02-02-04.pt,2
Audio_Song_Actors_01-24\Actor_04\03-02-03-01-02-01-04.pt,3
Audio_Song_Actors_01-24\Actor_04\03-02-04-02-01-01-04.pt,4
Audio_Song_Actors_01-24\Actor_04\03-02-04-02-01-02-04.pt,4
Audio_Song_Actors_01-24\Actor_04\03-02-04-02-02-01-04.pt,4
Audio_Song_Actors_01-24\Actor_04\03-02-05-01-01-01-04.pt,5
Audio_Song_Actors_01-24\Actor_04\03-02-05-01-01-02-04.pt,5
Audio_Song_Actors_01-24\Actor_04\03-02-05-01-02-01-04.pt,5
Audio_Song_Actors_01-24\Actor_04\03-02-05-01-02-02-04.pt,5
Audio_Song_Actors_01-24\Actor_04\03-02-05-02-01-01-04.pt,5
Audio_Song_Actors_01-24\Actor_04\03-02-05-02-02-01-04.pt,5
Audio_Song_Actors_01-24\Actor_04\03-02-06-01-01-01-04.pt,6
Audio_Song_Actors_01-24\Actor_04\03-02-06-01-01-02-04.pt,6
Audio_Song_Actors_01-24\Actor_04\03-02-06-01-02-01-04.pt,6
Audio_Song_Actors_01-24\Actor_04\03-02-06-01-02-02-04.pt,6
Audio_Song_Actors_01-24\Actor_04\03-02-06-02-01-01-04.pt,6
Audio_Song_Actors_01-24\Actor_04\03-02-06-02-02-01-04.pt,6
Audio_Song_Actors_01-24\Actor_04\03-02-06-02-02-02-04.pt,6
Audio_Song_Actors_01-24\Actor_05\03-02-01-01-01-01-05.pt,1
Audio_Song_Actors_01-24\Actor_05\03-02-01-01-01-02-05.pt,1
Audio_Song_Actors_01-24\Actor_05\03-02-01-01-02-02-05.pt,1
Audio_Song_Actors_01-24\Actor_05\03-02-02-01-01-01-05.pt,2
Audio_Song_Actors_01-24\Actor_05\03-02-02-01-01-02-05.pt,2
Audio_Song_Actors_01-24\Actor_05\03-02-02-01-02-01-05.pt,2
Audio_Song_Actors_01-24\Actor_05\03-02-02-01-02-02-05.pt,2
Audio_Song_Actors_01-24\Actor_05\03-02-02-02-01-01-05.pt,2
Audio_Song_Actors_01-24\Actor_05\03-02-02-02-01-02-05.pt,2
Audio_Song_Actors_01-24\Actor_05\03-02-02-02-02-02-05.pt,2
Audio_Song_Actors_01-24\Actor_05\03-02-03-01-01-01-05.pt,3
Audio_Song_Actors_01-24\Actor_05\03-02-03-01-02-01-05.pt,3
Audio_Song_Actors_01-24\Actor_05\03-02-03-01-02-02-05.pt,3
Audio_Song_Actors_01-24\Actor_05\03-02-03-02-01-01-05.pt,3
Audio_Song_Actors_01-24\Actor_05\03-02-03-02-01-02-05.pt,3
Audio_Song_Actors_01-24\Actor_05\03-02-03-02-02-02-05.pt,3
Audio_Song_Actors_01-24\Actor_05\03-02-04-01-01-01-05.pt,4
Audio_Song_Actors_01-24\Actor_05\03-02-04-01-02-01-05.pt,4
Audio_Song_Actors_01-24\Actor_05\03-02-04-01-02-02-05.pt,4
Audio_Song_Actors_01-24\Actor_05\03-02-04-02-01-01-05.pt,4
Audio_Song_Actors_01-24\Actor_05\03-02-04-02-02-01-05.pt,4
Audio_Song_Actors_01-24\Actor_05\03-02-04-02-02-02-05.pt,4
Audio_Song_Actors_01-24\Actor_05\03-02-05-01-01-01-05.pt,5
Audio_Song_Actors_01-24\Actor_05\03-02-05-01-02-01-05.pt,5
Audio_Song_Actors_01-24\Actor_05\03-02-05-01-02-02-05.pt,5
Audio_Song_Actors_01-24\Actor_05\03-02-05-02-01-01-05.pt,5
Audio_Song_Actors_01-24\Actor_05\03-02-05-02-01-02-05.pt,5
Audio_Song_Actors_01-24\Actor_05\03-02-05-02-02-01-05.pt,5
Audio_Song_Actors_01-24\Actor_05\03-02-06-01-01-01-05.pt,6
Audio_Song_Actors_01-24\Actor_05\03-02-06-01-01-02-05.pt,6
Audio_Song_Actors_01-24\Actor_05\03-02-06-01-02-01-05.pt,6
Audio_Song_Actors_01-24\Actor_05\03-02-06-02-01-01-05.pt,6
Audio_Song_Actors_01-24\Actor_05\03-02-06-02-02-01-05.pt,6
Audio_Song_Actors_01-24\Actor_05\03-02-06-02-02-02-05.pt,6
Audio_Song_Actors_01-24\Actor_06\03-02-02-01-01-01-06.pt,2
Audio_Song_Actors_01-24\Actor_06\03-02-02-01-01-02-06.pt,2
Audio_Song_Actors_01-24\Actor_06\03-02-02-01-02-01-06.pt,2
Audio_Song_Actors_01-24\Actor_06\03-02-02-01-02-02-06.pt,2
Audio_Song_Actors_01-24\Actor_06\03-02-02-02-01-01-06.pt,2
Audio_Song_Actors_01-24\Actor_06\03-02-02-02-02-01-06.pt,2
Audio_Song_Actors_01-24\Actor_06\03-02-03-01-01-01-06.pt,3
Audio_Song_Actors_01-24\Actor_06\03-02-03-01-01-02-06.pt,3
Audio_Song_Actors_01-24\Actor_06\03-02-03-01-02-01-06.pt,3
Audio_Song_Actors_01-24\Actor_06\03-02-03-02-01-01-06.pt,3
Audio_Song_Actors_01-24\Actor_06\03-02-03-02-01-02-06.pt,3
Audio_Song_Actors_01-24\Actor_06\03-02-03-02-02-01-06.pt,3
Audio_Song_Actors_01-24\Actor_06\03-02-03-02-02-02-06.pt,3
Audio_Song_Actors_01-24\Actor_06\03-02-04-01-01-02-06.pt,4
Audio_Song_Actors_01-24\Actor_06\03-02-04-01-02-01-06.pt,4
Audio_Song_Actors_01-24\Actor_06\03-02-04-02-01-02-06.pt,4
Audio_Song_Actors_01-24\Actor_06\03-02-04-02-02-01-06.pt,4
Audio_Song_Actors_01-24\Actor_06\03-02-05-01-01-01-06.pt,5
Audio_Song_Actors_01-24\Actor_06\03-02-05-01-01-02-06.pt,5
Audio_Song_Actors_01-24\Actor_06\03-02-05-01-02-01-06.pt,5
Audio_Song_Actors_01-24\Actor_06\03-02-05-02-01-01-06.pt,5
Audio_Song_Actors_01-24\Actor_06\03-02-06-01-01-01-06.pt,6
Audio_Song_Actors_01-24\Actor_06\03-02-06-01-01-02-06.pt,6
Audio_Song_Actors_01-24\Actor_06\03-02-06-01-02-01-06.pt,6
Audio_Song_Actors_01-24\Actor_06\03-02-06-01-02-02-06.pt,6
Audio_Song_Actors_01-24\Actor_06\03-02-06-02-02-01-06.pt,6
Audio_Song_Actors_01-24\Actor_06\03-02-06-02-02-02-06.pt,6
Audio_Song_Actors_01-24\Actor_07\03-02-01-01-01-01-07.pt,1
