filepath,label
Actor_01\03-01-01-01-01-01-01.pt,1
Actor_01\03-01-01-01-01-02-01.pt,1
Actor_01\03-01-01-01-02-01-01.pt,1
Actor_01\03-01-01-01-02-02-01.pt,1
Actor_01\03-01-02-01-01-01-01.pt,2
Actor_01\03-01-02-01-01-02-01.pt,2
Actor_01\03-01-02-01-02-01-01.pt,2
Actor_01\03-01-02-01-02-02-01.pt,2
Actor_01\03-01-02-02-01-01-01.pt,2
Actor_01\03-01-02-02-01-02-01.pt,2
Actor_01\03-01-02-02-02-01-01.pt,2
Actor_01\03-01-02-02-02-02-01.pt,2
Actor_01\03-01-03-01-01-01-01.pt,3
Actor_01\03-01-03-01-01-02-01.pt,3
Actor_01\03-01-03-01-02-01-01.pt,3
Actor_01\03-01-03-01-02-02-01.pt,3
Actor_01\03-01-03-02-01-01-01.pt,3
Actor_01\03-01-03-02-01-02-01.pt,3
Actor_01\03-01-03-02-02-01-01.pt,3
Actor_01\03-01-03-02-02-02-01.pt,3
Actor_01\03-01-04-01-01-01-01.pt,4
Actor_01\03-01-04-01-01-02-01.pt,4
Actor_01\03-01-04-01-02-01-01.pt,4
Actor_01\03-01-04-01-02-02-01.pt,4
Actor_01\03-01-04-02-01-01-01.pt,4
Actor_01\03-01-04-02-01-02-01.pt,4
Actor_01\03-01-04-02-02-01-01.pt,4
Actor_01\03-01-04-02-02-02-01.pt,4
Actor_01\03-01-05-01-01-01-01.pt,5
Actor_01\03-01-05-01-01-02-01.pt,5
Actor_01\03-01-05-01-02-01-01.pt,5
Actor_01\03-01-05-01-02-02-01.pt,5
Actor_01\03-01-05-02-01-01-01.pt,5
Actor_01\03-01-05-02-01-02-01.pt,5
Actor_01\03-01-05-02-02-01-01.pt,5
Actor_01\03-01-05-02-02-02-01.pt,5
Actor_01\03-01-06-01-01-01-01.pt,6
Actor_01\03-01-06-01-01-02-01.pt,6
Actor_01\03-01-06-01-02-01-01.pt,6
Actor_01\03-01-06-01-02-02-01.pt,6
Actor_01\03-01-06-02-01-01-01.pt,6
Actor_01\03-01-06-02-01-02-01.pt,6
Actor_01\03-01-06-02-02-01-01.pt,6
Actor_01\03-01-06-02-02-02-01.pt,6
Actor_01\03-01-07-01-01-01-01.pt,7
Actor_01\03-01-07-01-01-02-01.pt,7
Actor_01\03-01-07-01-02-01-01.pt,7
Actor_01\03-01-07-01-02-02-01.pt,7
Actor_01\03-01-07-02-01-01-01.pt,7
Actor_01\03-01-07-02-01-02-01.pt,7
Actor_01\03-01-07-02-02-01-01.pt,7
Actor_01\03-01-07-02-02-02-01.pt,7
Actor_01\03-01-08-01-01-01-01.pt,8
Actor_01\03-01-08-01-01-02-01.pt,8
Actor_01\03-01-08-01-02-01-01.pt,8
Actor_01\03-01-08-01-02-02-01.pt,8
Actor_01\03-01-08-02-01-01-01.pt,8
Actor_01\03-01-08-02-01-02-01.pt,8
Actor_01\03-01-08-02-02-01-01.pt,8
Actor_01\03-01-08-02-02-02-01.pt,8
Actor_02\03-01-01-01-01-01-02.pt,1
Actor_02\03-01-01-01-01-02-02.pt,1
Actor_02\03-01-01-01-02-01-02.pt,1
Actor_02\03-01-01-01-02-02-02.pt,1
Actor_02\03-01-02-01-01-01-02.pt,2
Actor_02\03-01-02-01-01-02-02.pt,2
Actor_02\03-01-02-01-02-01-02.pt,2
Actor_02\03-01-02-01-02-02-02.pt,2
Actor_02\03-01-02-02-01-01-02.pt,2
Actor_02\03-01-02-02-01-02-02.pt,2
Actor_02\03-01-02-02-02-01-02.pt,2
Actor_02\03-01-02-02-02-02-02.pt,2
Actor_02\03-01-03-01-01-01-02.pt,3
Actor_02\03-01-03-01-01-02-02.pt,3
Actor_02\03-01-03-01-02-01-02.pt,3
Actor_02\03-01-03-01-02-02-02.pt,3
Actor_02\03-01-03-02-01-01-02.pt,3
Actor_02\03-01-03-02-01-02-02.pt,3
Actor_02\03-01-03-02-02-01-02.pt,3
Actor_02\03-01-03-02-02-02-02.pt,3
Actor_02\03-01-04-01-01-01-02.pt,4
Actor_02\03-01-04-01-01-02-02.pt,4
Actor_02\03-01-04-01-02-01-02.pt,4
Actor_02\03-01-04-01-02-02-02.pt,4
Actor_02\03-01-04-02-01-01-02.pt,4
Actor_02\03-01-04-02-01-02-02.pt,4
Actor_02\03-01-04-02-02-01-02.pt,4
Actor_02\03-01-04-02-02-02-02.pt,4
Actor_02\03-01-05-01-01-01-02.pt,5
Actor_02\03-01-05-01-01-02-02.pt,5
Actor_02\03-01-05-01-02-01-02.pt,5
Actor_02\03-01-05-01-02-02-02.pt,5
Actor_02\03-01-05-02-01-01-02.pt,5
Actor_02\03-01-05-02-01-02-02.pt,5
Actor_02\03-01-05-02-02-01-02.pt,5
Actor_02\03-01-05-02-02-02-02.pt,5
Actor_02\03-01-06-01-01-01-02.pt,6
Actor_02\03-01-06-01-01-02-02.pt,6
Actor_02\03-01-06-01-02-01-02.pt,6
Actor_02\03-01-06-01-02-02-02.pt,6
Actor_02\03-01-06-02-01-01-02.pt,6
Actor_02\03-01-06-02-01-02-02.pt,6
Actor_02\03-01-06-02-02-01-02.pt,6
Actor_02\03-01-06-02-02-02-02.pt,6
Actor_02\03-01-07-01-01-01-02.pt,7
Actor_02\03-01-07-01-01-02-02.pt,7
Actor_02\03-01-07-01-02-01-02.pt,7
Actor_02\03-01-07-01-02-02-02.pt,7
Actor_02\03-01-07-02-01-01-02.pt,7
Actor_02\03-01-07-02-01-02-02.pt,7
Actor_02\03-01-07-02-02-01-02.pt,7
Actor_02\03-01-07-02-02-02-02.pt,7
Actor_02\03-01-08-01-01-01-02.pt,8
Actor_02\03-01-08-01-01-02-02.pt,8
Actor_02\03-01-08-01-02-01-02.pt,8
Actor_02\03-01-08-01-02-02-02.pt,8
Actor_02\03-01-08-02-01-01-02.pt,8
Actor_02\03-01-08-02-01-02-02.pt,8
Actor_02\03-01-08-02-02-01-02.pt,8
Actor_02\03-01-08-02-02-02-02.pt,8
Actor_03\03-01-01-01-01-01-03.pt,1
Actor_03\03-01-01-01-01-02-03.pt,1
Actor_03\03-01-01-01-02-01-03.pt,1
Actor_03\03-01-01-01-02-02-03.pt,1
Actor_03\03-01-02-01-01-01-03.pt,2
Actor_03\03-01-02-01-01-02-03.pt,2
